code,crypto,description,symbol,price,timestamp
EUR,bitcoin,Euro,&euro;,28561.8722,2023-05-01 00:19:00
EUR,bitcoin,Euro,&euro;,28549.727,2023-05-01 00:48:00
EUR,bitcoin,Euro,&euro;,28506.7155,2023-05-01 01:31:00
EUR,bitcoin,Euro,&euro;,27861.4404,2023-05-01 02:07:00
EUR,bitcoin,Euro,&euro;,27864.0643,2023-05-01 02:26:00
EUR,bitcoin,Euro,&euro;,27877.2714,2023-05-01 02:40:00
EUR,bitcoin,Euro,&euro;,27861.6064,2023-05-01 02:49:00
EUR,bitcoin,Euro,&euro;,27825.236,2023-05-01 03:04:00
EUR,bitcoin,Euro,&euro;,27817.8362,2023-05-01 03:21:00
EUR,bitcoin,Euro,&euro;,27844.3246,2023-05-01 03:33:00
EUR,bitcoin,Euro,&euro;,27848.9571,2023-05-01 03:48:00
EUR,bitcoin,Euro,&euro;,27849.0252,2023-05-01 04:04:00
EUR,bitcoin,Euro,&euro;,27801.1271,2023-05-01 04:22:00
EUR,bitcoin,Euro,&euro;,27814.4621,2023-05-01 04:33:00
EUR,bitcoin,Euro,&euro;,27780.4921,2023-05-01 04:47:00
EUR,bitcoin,Euro,&euro;,27847.5252,2023-05-01 05:04:00
EUR,bitcoin,Euro,&euro;,27894.5984,2023-05-01 05:20:00
EUR,bitcoin,Euro,&euro;,27804.1778,2023-05-01 05:33:00
EUR,bitcoin,Euro,&euro;,27741.848,2023-05-01 05:48:00
EUR,bitcoin,Euro,&euro;,27758.1547,2023-05-01 06:05:00
EUR,bitcoin,Euro,&euro;,27780.2043,2023-05-01 06:23:00
EUR,bitcoin,Euro,&euro;,27823.9063,2023-05-01 06:33:00
EUR,bitcoin,Euro,&euro;,27858.9113,2023-05-01 06:48:00
EUR,bitcoin,Euro,&euro;,27861.5005,2023-05-01 07:04:00
EUR,bitcoin,Euro,&euro;,27878.8989,2023-05-01 07:19:00
EUR,bitcoin,Euro,&euro;,27907.7708,2023-05-01 07:33:00
EUR,bitcoin,Euro,&euro;,27920.7029,2023-05-01 07:47:00
EUR,bitcoin,Euro,&euro;,27896.0017,2023-05-01 08:04:00
EUR,bitcoin,Euro,&euro;,27844.6637,2023-05-01 08:22:00
EUR,bitcoin,Euro,&euro;,27855.1661,2023-05-01 08:33:00
EUR,bitcoin,Euro,&euro;,27877.7329,2023-05-01 08:48:00
EUR,bitcoin,Euro,&euro;,27851.1528,2023-05-01 09:04:00
EUR,bitcoin,Euro,&euro;,27869.8029,2023-05-01 09:20:00
EUR,bitcoin,Euro,&euro;,27861.6166,2023-05-01 09:33:00
EUR,bitcoin,Euro,&euro;,27776.9072,2023-05-01 09:48:00
EUR,bitcoin,Euro,&euro;,27787.076,2023-05-01 10:04:00
EUR,bitcoin,Euro,&euro;,27797.855,2023-05-01 10:22:00
EUR,bitcoin,Euro,&euro;,27803.536,2023-05-01 10:33:00
EUR,bitcoin,Euro,&euro;,27802.9571,2023-05-01 10:48:00
EUR,bitcoin,Euro,&euro;,27819.8739,2023-05-01 11:04:00
EUR,bitcoin,Euro,&euro;,27817.9036,2023-05-01 11:18:00
EUR,bitcoin,Euro,&euro;,27810.1121,2023-05-01 11:33:00
EUR,bitcoin,Euro,&euro;,27820.2126,2023-05-01 11:48:00
EUR,bitcoin,Euro,&euro;,27767.4686,2023-05-01 12:06:00
EUR,bitcoin,Euro,&euro;,27811.215,2023-05-01 12:24:00
EUR,bitcoin,Euro,&euro;,27860.8569,2023-05-01 12:40:00
EUR,bitcoin,Euro,&euro;,27835.8788,2023-05-01 12:52:00
EUR,bitcoin,Euro,&euro;,27836.3853,2023-05-01 13:04:00
EUR,bitcoin,Euro,&euro;,27889.7985,2023-05-01 13:33:00
EUR,bitcoin,Euro,&euro;,27822.9418,2023-05-01 13:48:00
EUR,bitcoin,Euro,&euro;,27774.3581,2023-05-01 14:04:00
EUR,bitcoin,Euro,&euro;,27785.8978,2023-05-01 14:32:00
