Cell_ID,Base_Station_ID,Location_Lat,Location_Lon,Transport_Device_ID,Transport_Interface_ID,RRC_ConnEstabFail,RRC_ConnEstabSucc,RRC_ConnEstabAtt,ERAB_EstabInitSuccNbr_QCI,DL_PRB_Utilization,Cell_Availability,Timestamp
CELL_0,eNB_001,40.34628749992374,-79.21905695057524,RTR_002,eth3,9,92,102,94.29170652172598,51.21398344826626,99.49327640037687,2026-01-01T00:00:00+00:00
CELL_0,eNB_001,40.34628749992374,-79.21905695057524,RTR_002,eth3,9,96,106,93.24180309849503,52.99484461534525,99.48496733056363,2026-01-01T00:15:00+00:00
CELL_0,eNB_001,40.34628749992374,-79.21905695057524,RTR_002,eth3,8,91,100,91.98107353613331,51.79090085308005,99.49599122520281,2026-01-01T00:30:00+00:00
CELL_0,eNB_001,40.34628749992374,-79.21905695057524,RTR_002,eth3,9,91,100,90.07133069519239,51.30629782325529,99.53116958856442,2026-01-01T00:45:00+00:00
CELL_0,eNB_001,40.34628749992374,-79.21905695057524,RTR_002,eth3,7,92,100,86.1990113634571,49.88871254417718,99.54072975726224,2026-01-01T01:00:00+00:00
CELL_0,eNB_001,40.34628749992374,-79.21905695057524,RTR_002,eth3,7,94,101,82.7002240860393,43.846685660961896,99.49935846750725,2026-01-01T01:15:00+00:00
CELL_0,eNB_001,40.34628749992374,-79.21905695057524,RTR_002,eth3,6,85,92,80.9089091705316,40.78034998223914,99.52181243013199,2026-01-01T01:30:00+00:00
CELL_0,eNB_001,40.34628749992374,-79.21905695057524,RTR_002,eth3,5,81,86,72.74849871236317,38.21394831558066,99.51010322513034,2026-01-01T01:45:00+00:00
CELL_0,eNB_001,40.34628749992374,-79.21905695057524,RTR_002,eth3,4,75,80,69.48402439623987,35.08769919116241,99.48633512580263,2026-01-01T02:00:00+00:00
CELL_0,eNB_001,40.34628749992374,-79.21905695057524,RTR_002,eth3,2,72,75,69.96315884434118,34.42670938668707,99.4821899602004,2026-01-01T02:15:00+00:00
CELL_0,eNB_001,40.34628749992374,-79.21905695057524,RTR_002,eth3,1,65,67,60.684426336305215,31.808205374954245,99.50401357012095,2026-01-01T02:30:00+00:00
CELL_0,eNB_001,40.34628749992374,-79.21905695057524,RTR_002,eth3,1,65,66,59.94074685618657,27.707014508719336,99.50898165206175,2026-01-01T02:45:00+00:00
