location,wind_avg,precip,temp_avg,temp_max,temp_min,timestamp
Hayward,2.24,0,50,57,44,2020-01-01 00:00:00
Hayward,3.8,0,51,60,44,2020-01-02 00:00:00
Hayward,3.13,0,50,62,41,2020-01-03 00:00:00
Hayward,4.47,0,51,59,43,2020-01-04 00:00:00
Hayward,3.8,0,48,59,37,2020-01-05 00:00:00
Hayward,3.8,0,49,60,38,2020-01-06 00:00:00
Hayward,5.14,0,48,58,39,2020-01-07 00:00:00
Hayward,5.14,0,51,57,42,2020-01-08 00:00:00
Hayward,7.16,0.17,51,56,42,2020-01-09 00:00:00
Hayward,4.92,0,47,58,39,2020-01-10 00:00:00
Hayward,5.14,0.02,50,58,42,2020-01-11 00:00:00
Hayward,5.59,0.01,46,55,37,2020-01-12 00:00:00
Hayward,8.05,0.07,49,56,43,2020-01-13 00:00:00
Hayward,5.14,0.05,52,55,42,2020-01-14 00:00:00
Hayward,4.92,0,45,52,38,2020-01-15 00:00:00
Hayward,11.41,0.79,48,52,43,2020-01-16 00:00:00
Hayward,4.92,0,45,55,38,2020-01-17 00:00:00
Hayward,6.93,0,48,58,43,2020-01-18 00:00:00
Hayward,5.82,0,48,54,40,2020-01-19 00:00:00
Hayward,3.13,0,49,56,45,2020-01-20 00:00:00
Hayward,8.28,0.08,52,59,45,2020-01-21 00:00:00
Hayward,4.03,0.01,55,60,51,2020-01-22 00:00:00
Hayward,2.68,0,53,59,47,2020-01-23 00:00:00
Hayward,2.68,0,53,63,45,2020-01-24 00:00:00
Hayward,2.68,0.01,56,64,51,2020-01-25 00:00:00
Hayward,6.04,0.18,58,60,47,2020-01-26 00:00:00
Hayward,3.8,0,51,59,44,2020-01-27 00:00:00
Hayward,4.7,0.01,54,60,47,2020-01-28 00:00:00
Hayward,4.25,0,51,60,43,2020-01-29 00:00:00
Hayward,3.58,0,53,61,47,2020-01-30 00:00:00
Hayward,3.58,0,53,66,47,2020-01-31 00:00:00
Hayward,4.03,0,56,65,45,2020-02-01 00:00:00
Hayward,11.86,0,54,58,43,2020-02-02 00:00:00
Hayward,7.61,0,46,57,35,2020-02-03 00:00:00
Hayward,6.71,0,48,57,37,2020-02-04 00:00:00
Hayward,4.03,0,46,60,37,2020-02-05 00:00:00
Hayward,2.46,0,51,64,41,2020-02-06 00:00:00
Hayward,3.8,0,53,66,41,2020-02-07 00:00:00
Hayward,4.47,0,52,59,45,2020-02-08 00:00:00
Hayward,17,0,53,63,42,2020-02-09 00:00:00
Hayward,4.92,0,57,74,43,2020-02-10 00:00:00
Hayward,4.47,0,60,72,48,2020-02-11 00:00:00
Hayward,4.25,0,55,67,43,2020-02-12 00:00:00
Hayward,6.26,0,51,57,44,2020-02-13 00:00:00
Hayward,4.92,0,52,58,47,2020-02-14 00:00:00
Hayward,4.47,0,52,63,42,2020-02-15 00:00:00
Hayward,5.59,0,53,60,46,2020-02-16 00:00:00
Hayward,4.47,0,53,70,43,2020-02-17 00:00:00
Hayward,3.58,0,55,65,44,2020-02-18 00:00:00
Hayward,4.25,0,51,64,41,2020-02-19 00:00:00
Hayward,4.92,0,53,65,44,2020-02-20 00:00:00
Hayward,4.03,0,58,74,46,2020-02-21 00:00:00
Hayward,8.95,0,58,61,50,2020-02-22 00:00:00
Hayward,8.5,0,53,59,48,2020-02-23 00:00:00
Hayward,4.92,0,53,67,44,2020-02-24 00:00:00
Hayward,4.25,0,57,77,43,2020-02-25 00:00:00
Hayward,3.8,0,60,74,47,2020-02-26 00:00:00
Hayward,4.92,0,60,74,49,2020-02-27 00:00:00
Hayward,4.92,0,62,73,51,2020-02-28 00:00:00
Hayward,12.3,0,54,58,49,2020-02-29 00:00:00
Hayward,8.5,0,51,60,42,2020-03-01 00:00:00
Hayward,8.95,0,59,73,47,2020-03-02 00:00:00
Hayward,6.26,0,62,76,47,2020-03-03 00:00:00
Hayward,5.37,0,60,77,48,2020-03-04 00:00:00
Hayward,5.82,0,57,65,48,2020-03-05 00:00:00
Hayward,8.28,0,56,61,50,2020-03-06 00:00:00
Hayward,6.49,0.23,52,55,49,2020-03-07 00:00:00
Hayward,4.92,0,52,60,45,2020-03-08 00:00:00
Hayward,5.37,0,55,66,47,2020-03-09 00:00:00
Hayward,5.14,0.01,59,70,52,2020-03-10 00:00:00
Hayward,6.49,0.01,61,70,52,2020-03-11 00:00:00
Hayward,5.37,0,57,70,47,2020-03-12 00:00:00
Hayward,9.62,0,56,66,46,2020-03-13 00:00:00
Hayward,8.72,0.48,53,54,49,2020-03-14 00:00:00
Hayward,9.17,0.44,51,54,46,2020-03-15 00:00:00
Hayward,7.16,0.24,47,56,42,2020-03-16 00:00:00
Hayward,5.82,0,48,57,40,2020-03-17 00:00:00
Hayward,6.49,0,49,55,45,2020-03-18 00:00:00
Hayward,5.82,0,52,61,45,2020-03-19 00:00:00
Hayward,6.04,0,53,64,43,2020-03-20 00:00:00
Hayward,4.47,0.01,53,63,45,2020-03-21 00:00:00
Hayward,5.37,0,56,69,48,2020-03-22 00:00:00
Hayward,8.05,0,54,55,48,2020-03-23 00:00:00
Hayward,7.83,0.07,52,58,48,2020-03-24 00:00:00
Hayward,8.5,0.03,51,57,43,2020-03-25 00:00:00
Hayward,6.04,0.04,48,58,37,2020-03-26 00:00:00
Hayward,8.28,0,50,58,39,2020-03-27 00:00:00
Hayward,5.59,0.1,53,59,49,2020-03-28 00:00:00
Hayward,7.16,0.03,55,62,51,2020-03-29 00:00:00
Hayward,6.93,0,56,63,51,2020-03-30 00:00:00
Hayward,7.38,0,56,64,49,2020-03-31 00:00:00
Hayward,6.71,0,54,61,47,2020-04-01 00:00:00
Hayward,8.5,0,53,65,41,2020-04-02 00:00:00
Hayward,8.95,0,53,61,44,2020-04-03 00:00:00
Hayward,9.4,0.42,53,60,49,2020-04-04 00:00:00
Hayward,6.93,0.41,53,55,46,2020-04-05 00:00:00
Hayward,3.58,0.41,48,52,43,2020-04-06 00:00:00
Hayward,7.38,0,49,63,39,2020-04-07 00:00:00
Hayward,6.26,0,55,62,47,2020-04-08 00:00:00
Hayward,6.93,0,57,64,54,2020-04-09 00:00:00
Hayward,8.28,0,58,64,53,2020-04-10 00:00:00
Hayward,8.5,0,55,60,52,2020-04-11 00:00:00
Hayward,7.16,0,56,62,53,2020-04-12 00:00:00
Hayward,6.26,0,57,68,51,2020-04-13 00:00:00
Hayward,6.26,0,59,77,46,2020-04-14 00:00:00
Hayward,7.16,0,62,77,49,2020-04-15 00:00:00
Hayward,8.5,0,57,62,54,2020-04-16 00:00:00
Hayward,9.17,0,56,62,54,2020-04-17 00:00:00
Hayward,8.5,0,58,64,54,2020-04-18 00:00:00
Hayward,8.05,0,57,65,52,2020-04-19 00:00:00
Hayward,10.29,0,57,63,54,2020-04-20 00:00:00
Hayward,9.17,0,56,65,54,2020-04-21 00:00:00
Hayward,7.16,0,59,71,51,2020-04-22 00:00:00
Hayward,6.71,0,61,70,56,2020-04-23 00:00:00
Hayward,4.03,0,63,76,52,2020-04-24 00:00:00
Hayward,4.92,0,65,78,54,2020-04-25 00:00:00
Hayward,5.82,0,60,67,53,2020-04-26 00:00:00
Hayward,6.71,0,60,72,52,2020-04-27 00:00:00
Hayward,6.04,0,64,77,56,2020-04-28 00:00:00
Hayward,8.05,0,59,65,55,2020-04-29 00:00:00
Hayward,7.61,0,59,69,54,2020-04-30 00:00:00
Hayward,8.72,0,59,71,50,2020-05-01 00:00:00
Hayward,8.5,0,61,70,55,2020-05-02 00:00:00
Hayward,8.5,0,60,67,51,2020-05-03 00:00:00
Hayward,6.93,0,59,74,48,2020-05-04 00:00:00
Hayward,9.17,0,60,70,48,2020-05-05 00:00:00
Hayward,6.93,0,62,77,51,2020-05-06 00:00:00
Hayward,5.82,0,66,85,52,2020-05-07 00:00:00
Hayward,6.04,0,68,88,52,2020-05-08 00:00:00
Hayward,9.17,0,60,69,51,2020-05-09 00:00:00
Hayward,8.5,0,60,68,56,2020-05-10 00:00:00
Hayward,9.17,0,61,77,52,2020-05-11 00:00:00
Hayward,9.62,0.07,61,67,56,2020-05-12 00:00:00
Hayward,7.61,0,60,68,51,2020-05-13 00:00:00
Hayward,6.93,0.04,62,69,57,2020-05-14 00:00:00
Hayward,9.62,0.02,62,69,56,2020-05-15 00:00:00
Hayward,8.5,0,62,73,55,2020-05-16 00:00:00
Hayward,11.18,0.26,67,78,58,2020-05-17 00:00:00
Hayward,10.51,0.22,62,67,57,2020-05-18 00:00:00
Hayward,10.96,0.08,60,67,55,2020-05-19 00:00:00
Hayward,8.95,0,60,69,56,2020-05-20 00:00:00
Hayward,8.05,0,62,75,55,2020-05-21 00:00:00
Hayward,9.4,0,60,69,54,2020-05-22 00:00:00
Hayward,7.16,0,62,76,51,2020-05-23 00:00:00
Hayward,6.26,0,64,85,53,2020-05-24 00:00:00
Hayward,6.49,0,73,92,60,2020-05-25 00:00:00
Hayward,4.7,0,74,92,62,2020-05-26 00:00:00
Hayward,6.71,0,76,87,57,2020-05-27 00:00:00
Hayward,8.5,0,64,77,55,2020-05-28 00:00:00
Hayward,10.51,0,63,73,58,2020-05-29 00:00:00
Hayward,8.72,0,67,75,60,2020-05-30 00:00:00
Hayward,7.83,0,63,69,58,2020-05-31 00:00:00
Hayward,7.16,0,63,74,58,2020-06-01 00:00:00
Hayward,6.71,0,70,88,58,2020-06-02 00:00:00
Hayward,6.49,0,77,93,61,2020-06-03 00:00:00
Hayward,7.38,0,71,85,59,2020-06-04 00:00:00
Hayward,13.65,0,62,65,58,2020-06-05 00:00:00
Hayward,14.99,0,61,67,57,2020-06-06 00:00:00
Hayward,13.65,0,60,67,53,2020-06-07 00:00:00
