country,county,city,wind_speed,wind_direction,timestamp
Germany,Berlin,Berlin,14.63,270,2025-10-01 00:00:00
Germany,Berlin,Berlin,17.68,76,2025-10-01 01:00:00
Germany,Berlin,Berlin,18.61,73,2025-10-01 02:00:00
Germany,Berlin,Berlin,18.52,60,2025-10-01 03:00:00
Germany,Berlin,Berlin,14.46,120,2025-10-01 04:00:00
Germany,Berlin,Berlin,12.31,68,2025-10-01 05:00:00
Germany,Berlin,Berlin,13.91,133,2025-10-01 06:00:00
Germany,Berlin,Berlin,17.51,168,2025-10-01 07:00:00
Germany,Berlin,Berlin,16.83,96,2025-10-01 08:00:00
Germany,Berlin,Berlin,11.85,317,2025-10-01 09:00:00
Germany,Berlin,Berlin,11.29,67,2025-10-01 10:00:00
Germany,Berlin,Berlin,17.18,114,2025-10-01 11:00:00
Germany,Berlin,Berlin,14.28,48,2025-10-01 12:00:00
Germany,Berlin,Berlin,12.47,217,2025-10-01 13:00:00
Germany,Berlin,Berlin,16.42,320,2025-10-01 14:00:00
Germany,Berlin,Berlin,14.01,91,2025-10-01 15:00:00
Germany,Berlin,Berlin,18.03,193,2025-10-01 16:00:00
Germany,Berlin,Berlin,18.86,101,2025-10-01 17:00:00
Germany,Berlin,Berlin,14.91,341,2025-10-01 18:00:00
Germany,Berlin,Berlin,17.73,87,2025-10-01 19:00:00
Germany,Berlin,Berlin,17.46,241,2025-10-01 20:00:00
Germany,Berlin,Berlin,13.65,188,2025-10-01 21:00:00
Germany,Berlin,Berlin,12.28,69,2025-10-01 22:00:00
Germany,Berlin,Berlin,10.73,71,2025-10-01 23:00:00
Germany,Hamburg,Hamburg,19.8,26,2025-09-27 00:00:00
Germany,Hamburg,Hamburg,17.95,77,2025-10-01 01:00:00
Germany,Hamburg,Hamburg,21.35,97,2025-10-01 02:00:00
Germany,Hamburg,Hamburg,21.11,47,2025-10-01 03:00:00
Germany,Hamburg,Hamburg,20.54,348,2025-10-01 04:00:00
Germany,Hamburg,Hamburg,15.72,52,2025-10-01 05:00:00
Germany,Hamburg,Hamburg,24.61,184,2025-10-01 06:00:00
Germany,Hamburg,Hamburg,19.58,311,2025-10-01 07:00:00
Germany,Hamburg,Hamburg,15.08,176,2025-10-01 08:00:00
Germany,Hamburg,Hamburg,18.98,320,2025-10-01 09:00:00
Germany,Hamburg,Hamburg,19.65,244,2025-10-01 10:00:00
Germany,Hamburg,Hamburg,16.53,334,2025-10-01 11:00:00
Germany,Hamburg,Hamburg,24.31,53,2025-10-01 12:00:00
